,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
456,ID 113949844,homeowner,https://ekb.cian.ru/sale/flat/307064913/,Екатеринбург,sale,flat,5,25,0,20.0,-1,0,2600000,2023,-1,-1,-1,-1,18 м²,2 м²,79126201282,Чкаловский,Светлый мкр,11,Ботаническая,Светлый
458,ID 13145681,realtor,https://ekb.cian.ru/sale/flat/302942218/,Екатеринбург,sale,flat,24,26,0,22.0,-1,0,3090000,2022,-1,-1,-1,-1,14 м²,3 м²,79826320092,, Евгения Савкова,17А,Геологическая,
460,ID 99477302,homeowner,https://ekb.cian.ru/sale/flat/309437134/,Екатеринбург,sale,flat,22,25,0,23.0,-1,0,3690000,2023,-1,-1,-1,-1,-1,-1,79090307183,Верх-Исетский, Зеленый Остров,12,Площадь 1905 года,Зеленый остров
461,ID 44532595,realtor,https://ekb.cian.ru/sale/flat/308927015/,Екатеринбург,sale,flat,12,32,0,24.6,-1,0,3650000,2025,-1,-1,-1,Чистовая,-1,-1,79827014740,Верх-Исетский,,,Геологическая,Русь-2 ЖК
462,Александр Чехомов,realtor,https://ekb.cian.ru/sale/flat/309022332/,Екатеринбург,sale,flat,2,12,0,28.0,-1,0,3650000,-1,-1,-1,-1,-1,-1,-1,79122523024,ЖК «Кварталы Форум Групп ( Солнечный)»Свердловская область, Чемпионов,15,,Кварталы Форум Групп (р-н Солнечный)
463,ID 15225970,homeowner,https://ekb.cian.ru/sale/flat/298435245/,Екатеринбург,sale,flat,11,15,0,25.0,-1,0,3690000,2021,-1,-1,-1,-1,"13,2 м²","3,4 м²",79126909372,, Академика Парина,41,Геологическая,
464,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/309172205/,Екатеринбург,sale,flat,7,9,0,30.0,-1,0,3700000,2020,-1,-1,-1,-1,-1,12 м²,79090305156,, Евгения Савкова,29А,Геологическая,Суходольский квартал
465,ID 103740246,homeowner,https://ekb.cian.ru/sale/flat/308885968/,Екатеринбург,sale,flat,2,20,0,22.2,-1,0,3850000,2025,-1,-1,-1,Чистовая,-1,-1,79826204932,Орджоникидзевский, Учителей,33,Машиностроителей,Основинские кварталы
466,ТАРАН,real_estate_agent,https://ekb.cian.ru/sale/flat/307394953/,Екатеринбург,sale,flat,12,22,0,27.5,-1,0,3900000,2026,-1,-1,-1,Без отделки,21 м²,-1,79090842628,,,,Ботаническая,Прогресс Академический ЖК
467,Самолёт Плюс Академический,real_estate_agent,https://ekb.cian.ru/sale/flat/309445998/,Екатеринбург,sale,flat,13,13,0,35.9,-1,0,3900000,2017,-1,-1,-1,-1,20 м²,6 м²,79623854471,Чкаловский, Круговая,18,Ботаническая,Рудный
468,ID 102703292,homeowner,https://ekb.cian.ru/sale/flat/300448572/,Екатеринбург,sale,flat,7,7,0,34.42,-1,0,3900000,-1,-1,-1,-1,-1,"15,6 м²","5,3 м²",79126626406,Железнодорожный, Коуровская,13/3,Уральская,Симфония
469,ID 100298602,homeowner,https://ekb.cian.ru/sale/flat/308240628/,Екатеринбург,sale,flat,16,25,-1,28.0,-1,0,3900000,2017,-1,-1,-1,-1,20 м²,-1,79122914735,Кировский, Студенческая,80,Площадь 1905 года,
470,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/306161283/,Екатеринбург,sale,flat,13,26,0,35.7,-1,0,4050000,2017,-1,-1,-1,-1,-1,"6,4 м²",79827229698,,бульвар Петра Кожемяко,16,Геологическая,
471,ID 97324033,realtor,https://ekb.cian.ru/sale/flat/308834404/,Екатеринбург,sale,flat,23,25,-1,32.5,-1,0,4050000,2018,-1,-1,-1,-1,18 м²,8 м²,79126133103,Кировский, 40-летия Комсомола,32Г,Геологическая,
472,ID 103715077,homeowner,https://ekb.cian.ru/sale/flat/293844154/,Екатеринбург,sale,flat,1,17,0,32.1,-1,0,4050000,2015,-1,-1,-1,-1,-1,-1,79090307210,Чкаловский, Рощинская,29,Ботаническая,
473,ID 121706141,homeowner,https://ekb.cian.ru/sale/flat/307274781/,Екатеринбург,sale,flat,7,29,0,33.6,-1,0,4300000,2020,-1,-1,-1,-1,"33,6 м²",-1,79826207539,Чкаловский,Светлый мкр,7,Ботаническая,
474,Лабецкий Недвижимость,real_estate_agent,https://ekb.cian.ru/sale/flat/307413315/,Екатеринбург,sale,flat,21,25,0,26.4,-1,0,4389999,2018,-1,-1,-1,-1,"18,6 м²",2 м²,79827005056,Кировский, Блюхера,99,Машиностроителей,
475,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/308112219/,Екатеринбург,sale,flat,5,20,0,29.2,-1,0,4350000,2025,-1,-1,-1,Чистовая,-1,5 м²,79126315806,Кировский,,,Машиностроителей,7Я ЖК
476,ID 92602117,homeowner,https://ekb.cian.ru/sale/flat/309171433/,Екатеринбург,sale,flat,6,25,0,28.6,-1,0,4550000,2024,-1,-1,-1,-1,15 м²,5 м²,79826627619,Орджоникидзевский,бульвар Владимира Белоглазова,5,Проспект Космонавтов,Твинс
477,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/309211591/,Екатеринбург,sale,flat,19,33,0,28.11,-1,0,4600000,2024,-1,-1,-1,Чистовая,-1,5 м²,79126132328,Верх-Исетский, Репина,111,Геологическая,Астон. Отрадный
478,ЮРИЭЛТ,real_estate_agent,https://ekb.cian.ru/sale/flat/309203024/,Екатеринбург,sale,flat,21,25,0,41.2,-1,0,4600000,-1,-1,-1,-1,-1,"31,1 м²",5 м²,79126525216,Чкаловский,Светлый мкр,2,Ботаническая,
479,ID 16618062,homeowner,https://ekb.cian.ru/sale/flat/308272936/,Екатеринбург,sale,flat,10,27,0,25.71,-1,0,4600000,2024,-1,-1,-1,Без отделки,20 м²,-1,79126072933,Ленинский, Печатников,3/1,Чкаловская,Московский квартал
480,ID 106450947,homeowner,https://ekb.cian.ru/sale/flat/307910937/,Екатеринбург,sale,flat,10,18,-1,25.0,-1,0,4600000,-1,-1,-1,-1,-1,17 м²,3 м²,79090304115,Верх-Исетский, Юмашева,6,Площадь 1905 года,
481,ID 93786023,homeowner,https://ekb.cian.ru/sale/flat/305569498/,Екатеринбург,sale,flat,10,24,0,28.41,-1,0,5100000,2025,-1,-1,-1,Чистовая,"16,9 м²",-1,79826928869,Верх-Исетский, Кизеловская,26,Геологическая,Дружный-2
482,Stellar,real_estate_agent,https://ekb.cian.ru/sale/flat/309248521/,Екатеринбург,sale,flat,5,10,0,26.1,-1,0,5150000,2022,-1,-1,-1,-1,10 м²,10 м²,79675371181,Чкаловский, Мраморская,6,Ботаническая,
483,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/309096266/,Екатеринбург,sale,flat,8,16,0,31.0,-1,0,5700000,2023,-1,-1,-1,-1,-1,5 м²,79826204923,Чкаловский, Щербакова,80,Геологическая,Астон. Сезоны
484,Самолет Плюс,real_estate_agent,https://ekb.cian.ru/sale/flat/309161630/,Екатеринбург,sale,flat,5,19,0,34.0,-1,0,5700000,-1,-1,-1,-1,-1,"12,6 м²",-1,79090305978,Орджоникидзевский, Фрезеровщиков,5,Проспект Космонавтов,
485,Кристалл-Инвест,real_estate_agent,https://ekb.cian.ru/sale/flat/302645146/,Екатеринбург,sale,flat,11,27,0,30.18,-1,0,5700000,2025,-1,-1,-1,Чистовая,20 м²,-1,79826873473,Орджоникидзевский,,,Уралмаш,Северное Сияние ЖК
486,Уютвиль,real_estate_agent,https://ekb.cian.ru/sale/flat/304776035/,Екатеринбург,sale,flat,15,23,0,29.56,-1,0,5700000,2025,-1,-1,-1,-1,"14,6 м²",10 м²,79623855811,Орджоникидзевский,,,Уралмаш,Северное Сияние ЖК
487,ID 65600050,realtor,https://ekb.cian.ru/sale/flat/308926730/,Екатеринбург,sale,flat,14,23,0,29.0,-1,0,5700000,-1,-1,-1,-1,-1,-1,-1,79826913185,Орджоникидзевский, Кузнецова,3,,
488,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/309610560/,Екатеринбург,sale,flat,7,32,0,30.1,-1,0,5800000,2023,-1,-1,-1,-1,-1,"19,1 м²",79827015965,Верх-Исетский, Репина,77,Геологическая,
489,ID 110977467,homeowner,https://ekb.cian.ru/sale/flat/304007941/,Екатеринбург,sale,flat,8,32,0,28.0,-1,0,6950000,2023,-1,-1,-1,-1,28 м²,-1,79090306980,Ленинский, Амундсена,5,Чкаловская,Астон. Событие
490,Ориентир. Недвижимость,real_estate_agent,https://ekb.cian.ru/sale/flat/308895904/,Екатеринбург,sale,flat,10,29,0,32.0,-1,0,7400000,2024,-1,-1,-1,-1,15 м²,12 м²,79126525612,Центр, Свердлова,32Б,Динамо,Екатерининский парк
491,МегаМир,real_estate_agent,https://ekb.cian.ru/sale/flat/296309200/,Екатеринбург,sale,flat,11,17,0,51.0,-1,0,7800000,2022,-1,-1,-1,-1,26 м²,8 м²,79126720542,Орджоникидзевский, Энтузиастов,36Б,Проспект Космонавтов,
492,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/309105508/,Екатеринбург,sale,flat,8,12,0,35.9,-1,0,8500000,2020,-1,-1,-1,-1,-1,15 м²,79826714387,Центр, Азина,22/2,Уральская,
493,Алексей Шнейдер,realtor,https://ekb.cian.ru/sale/flat/307724122/,Екатеринбург,sale,flat,11,15,0,33.0,-1,0,9100000,2021,-1,-1,-1,-1,33 м²,-1,79826308054,Октябрьский, Ткачей,19,Геологическая,Clever park
494,ID 113390446,homeowner,https://ekb.cian.ru/sale/flat/298680119/,Екатеринбург,sale,flat,9,21,0,31.5,-1,0,9150000,2021,-1,-1,-1,-1,"16,8 м²","5,2 м²",79126604979,Октябрьский, Ткачей,19,Геологическая,Clever park
495,Без Границ,real_estate_agent,https://ekb.cian.ru/sale/flat/304160624/,Екатеринбург,sale,flat,6,18,0,33.0,-1,0,9500000,2022,-1,-1,-1,-1,-1,"6,4 м²",79826319030,Железнодорожный, Печерская,4,Динамо,Квартал На Некрасова
496,ID 108231052,homeowner,https://ekb.cian.ru/sale/flat/309465030/,Екатеринбург,sale,flat,2,4,0,18.0,-1,0,3500000,1956,-1,-1,-1,-1,18 м²,-1,79126111002,Центр, Мамина-Сибиряка,57А,Динамо,
497,ID 123996252,homeowner,https://ekb.cian.ru/sale/flat/309381291/,Екатеринбург,sale,flat,1,25,0,25.3,-1,0,3500000,2021,-1,-1,-1,-1,-1,-1,79122523569,Октябрьский, Латвийская,58,Геологическая,Хрустальные Ключи
498,ID 123396358,homeowner,https://ekb.cian.ru/sale/flat/309068530/,Екатеринбург,sale,flat,20,25,0,28.0,-1,0,3500000,2016,-1,-1,-1,-1,28 м²,-1,79122907646,Чкаловский,Светлый мкр,3,Ботаническая,
499,ID 122006516,homeowner,https://ekb.cian.ru/sale/flat/309165785/,Екатеринбург,sale,flat,18,25,0,22.8,-1,0,3600000,2025,-1,-1,-1,Чистовая,-1,"4,3 м²",79120510724,Верх-Исетский,Жилой комплекс Зеленый остров,,Площадь 1905 года,Зеленый остров
500,Рио-Люкс Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/309264900/,Екатеринбург,sale,flat,16,25,0,23.64,-1,0,3900000,2026,-1,-1,-1,-1,-1,3 м²,79655311601,Верх-Исетский,переулок Встречный,4/1,Геологическая,PROGRESS Встречный
501,ID 59423431,homeowner,https://ekb.cian.ru/sale/flat/309165591/,Екатеринбург,sale,flat,19,25,0,43.4,-1,0,4099000,2019,-1,-1,-1,-1,-1,-1,79827509467,Чкаловский,Светлый мкр,4,Ботаническая,
502,ID 78730078,homeowner,https://ekb.cian.ru/sale/flat/309267731/,Екатеринбург,sale,flat,10,16,0,27.2,-1,0,4200000,2013,-1,-1,-1,-1,-1,-1,79090307354,Чкаловский, Рощинская,39Б,Ботаническая,
0,TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/303395002/,Екатеринбург,sale,flat,11,25,1,31.6,-1,0,4699000,2026,-1,-1,-1,Чистовая,"15,1 м²","7,5 м²",73432261920,, Бочкарева,,Чкаловская,Старт
1,ID 61406902,real_estate_agent,https://ekb.cian.ru/sale/flat/305469271/,Екатеринбург,sale,flat,16,16,1,39.9,-1,0,5840000,2011,-1,-1,-1,-1,20 м²,12 м²,79126422692,Кировский, Смазчиков,3,Уральская,
2,Татьяна Баранавкина,realtor,https://ekb.cian.ru/sale/flat/298092715/,Екатеринбург,sale,flat,5,5,1,32.7,-1,0,2300000,1972,-1,-1,-1,-1,-1,6 м²,79122310498,Октябрьский, Латвийская,38,Геологическая,
3,TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/306899926/,Екатеринбург,sale,flat,14,23,1,34.0,-1,0,4648350,2027,-1,-1,-1,Без отделки,"10,6 м²","13,9 м²",73432261635,Кировский,,,Машиностроителей,Основинские кварталы ЖК
4,Новосёл,real_estate_agent,https://ekb.cian.ru/sale/flat/303870610/,Екатеринбург,sale,flat,7,25,1,34.69,-1,0,4580000,2023,-1,-1,-1,-1,15 м²,"7,6 м²",79826513715,Железнодорожный, Таватуйская,14А,Уральская,
5,ID 15522187,realtor,https://ekb.cian.ru/sale/flat/306429872/,Екатеринбург,sale,flat,5,25,1,21.0,-1,0,2550000,-1,-1,-1,-1,-1,-1,-1,79827324267,Октябрьский, Латвийская,58/2,Геологическая,Хрустальные Ключи
6,R1 Development,developer,https://ekb.cian.ru/sale/flat/303900221/,Екатеринбург,sale,flat,2,8,1,42.64,-1,0,7763465,2026,-1,-1,-1,Чистовая,-1,-1,73432261660,Орджоникидзевский, Уральских Рабочих,26,Проспект Космонавтов,Банников Дом
7,ID 61406902,real_estate_agent,https://ekb.cian.ru/sale/flat/309638994/,Екатеринбург,sale,flat,9,16,1,40.0,-1,0,5790000,2008,-1,-1,-1,-1,20 м²,12 м²,79126422692,Кировский, Смазчиков,3,Уральская,
8,Легенда-недвижимость,real_estate_agent,https://ekb.cian.ru/sale/flat/301866644/,Екатеринбург,sale,flat,4,9,1,32.3,-1,0,4105000,1972,-1,-1,-1,-1,-1,-1,79826206243,Октябрьский, Куйбышева,96,Геологическая,
9,TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/298221123/,Екатеринбург,sale,flat,25,25,1,37.2,-1,0,8027100,2023,-1,Монолитно-кирпичный,-1,Предчистовая,"13,1 м²","14,3 м²",73432261131,Чкаловский, 8 Марта,204Д,Чкаловская,Ботаника LIFE
10,Новый ориентир,real_estate_agent,https://ekb.cian.ru/sale/flat/309249905/,Екатеринбург,sale,flat,5,5,1,30.7,-1,0,4190000,1974,-1,-1,-1,-1,-1,6 м²,79068063596,, Чапаева,30,Чкаловская,
11,Принцип недвижимость,real_estate_agent,https://ekb.cian.ru/sale/flat/304248525/,Екатеринбург,sale,flat,14,25,1,45.9,-1,0,5490000,2024,-1,-1,-1,-1,"14,1 м²","19,2 м²",79126009846,Чкаловский, Щербакова,148,Чкаловская,River Park
12,Новосёл,real_estate_agent,https://ekb.cian.ru/sale/flat/301110896/,Екатеринбург,sale,flat,3,3,1,26.0,-1,0,2800000,1960,-1,-1,-1,-1,16 м²,6 м²,79125708115,Орджоникидзевский, Баумана,45,Уралмаш,
13,TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/298221157/,Екатеринбург,sale,flat,3,9,1,55.0,-1,0,18788500,2025,-1,-1,-1,Без отделки,"19,2 м²","14,7 м²",73432260261,Центр, Михаила Ананьева,,Динамо,Клубный дом инженера Ятеса
14,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/293797420/,Екатеринбург,sale,flat,2,5,1,39.3,-1,0,5600000,1956,-1,-1,-1,-1,-1,8 м²,79126102116,Центр, Мельковская,3,Динамо,
15,ID 76815432,homeowner,https://ekb.cian.ru/sale/flat/309402098/,Екатеринбург,sale,flat,13,20,1,46.63,-1,0,6800000,2014,-1,-1,-1,-1,"18,6 м²",10 м²,79823005063,, Николая Островского,1,Чкаловская,
16,TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/298036690/,Екатеринбург,sale,flat,31,31,1,35.1,-1,0,7096500,2023,-1,Монолитно-кирпичный,-1,Предчистовая,"12,5 м²","12,8 м²",73432261731,Ленинский, Академика Бардина,26А,Чкаловская,Дом на Бардина
17,Принцип недвижимость,real_estate_agent,https://ekb.cian.ru/sale/flat/306185351/,Екатеринбург,sale,flat,5,25,1,31.4,-1,0,3380000,2024,-1,-1,-1,Чистовая,"14,7 м²","9,5 м²",79126009846,Октябрьский,,5к4,Геологическая,Хрустальные Ключи ЖК
18,Ветер перемен,real_estate_agent,https://ekb.cian.ru/sale/flat/308954580/,Екатеринбург,sale,flat,5,9,1,25.1,-1,0,2800000,-1,-1,-1,-1,-1,11 м²,5 м²,79090295080,Кировский, 40-летия Комсомола,3Б,Площадь 1905 года,
19,TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/298038407/,Екатеринбург,sale,flat,2,16,1,55.9,-1,0,21462000,2024,-1,Монолитно-кирпичный,-1,Черновая,"22,3 м²","18,3 м²",73432260691,Центр, Февральской Революции,21,Динамо,19/05
20,Самолет Плюс Центральный,real_estate_agent,https://ekb.cian.ru/sale/flat/306443351/,Екатеринбург,sale,flat,13,23,1,32.0,-1,0,5590000,2026,-1,-1,-1,-1,10 м²,"15,2 м²",79090300492,,,,Ботаническая,Прогресс Академический ЖК
21,Деловой Квартал,developer,https://ekb.cian.ru/sale/flat/302687429/,Екатеринбург,sale,flat,2,25,1,41.08,-1,0,7218195,2026,-1,Монолитно-кирпичный,-1,"Черновая, чистовая","14,7 м²",-1,73432287518,Октябрьский,,,Ботаническая,Премиум Кварталы Маяковка ЖК
22,Эталон,developer,https://ekb.cian.ru/sale/flat/309466758/,Екатеринбург,sale,flat,2,25,1,32.6,-1,0,4730895,2027,-1,Монолитно-кирпичный,-1,Предчистовая,"11,5 м²","11,9 м²",73432260872,Железнодорожный, Пехотинцев,2А,Уральская,Rauta
23,Первостроитель,developer,https://ekb.cian.ru/sale/flat/297114709/,Екатеринбург,sale,flat,2,24,1,31.3,-1,0,8015000,2023,-1,Монолитно-кирпичный,-1,"Без отделки, предчистовая, чистовая, чистовая с мебелью","15,8 м²","4,4 м²",73432261789,Кировский, Мира,47/7,Геологическая,Проспект Мира. Компаунд
24,Новосёл,real_estate_agent,https://ekb.cian.ru/sale/flat/309421541/,Екатеринбург,sale,flat,2,2,1,35.0,-1,0,3800000,1944,-1,-1,-1,-1,15 м²,16 м²,79125708115,Октябрьский, Куйбышева,82,Геологическая,
25,Брусника,developer,https://ekb.cian.ru/sale/flat/309049271/,Екатеринбург,sale,flat,2,9,1,36.32,-1,0,5170000,2027,-1,Монолитно-кирпичный,-1,Предчистовая,-1,-1,73432261644,,,,Ботаническая,Брусника в Академическом ЖК
26,ID 76510839,homeowner,https://ekb.cian.ru/sale/flat/307773901/,Екатеринбург,sale,flat,23,26,1,46.0,-1,0,8150000,2021,-1,-1,-1,-1,-1,18 м²,79826205914,, Чайковского,66А,Чкаловская,
27,Престиж,real_estate_agent,https://ekb.cian.ru/sale/flat/303853515/,Екатеринбург,sale,flat,1,4,1,21.6,-1,0,2700000,1959,-1,-1,-1,-1,-1,5 м²,79826727475,Кировский, Блюхера,16А,Динамо,
28,ACONS GROUP,developer,https://ekb.cian.ru/sale/flat/306317467/,Екатеринбург,sale,flat,2,30,1,52.5,-1,0,12549000,2023,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, черновая, чистовая","17,3 м²","23,1 м²",73432261672,, Машинная,1в/2,Чкаловская,Clever park
29,Кулиговская и Партнёры,real_estate_agent,https://ekb.cian.ru/sale/flat/304000536/,Екатеринбург,sale,flat,3,24,1,56.7,-1,0,14900000,2026,-1,-1,-1,Чистовая,25 м²,"19,1 м²",79126606949,Железнодорожный, Печерская,4,Динамо,Квартал На Некрасова
30,45-й Квартал,developer,https://ekb.cian.ru/sale/flat/300277870/,Екатеринбург,sale,flat,3,4,1,32.84,-1,0,5200000,2024,-1,-1,-1,Чистовая,-1,-1,73432261745,Ленинский,,,Чкаловская,Твоя Привилегия ЖК
31,Столица,real_estate_agent,https://ekb.cian.ru/sale/flat/308929529/,Екатеринбург,sale,flat,4,5,1,24.0,-1,0,3500000,1973,-1,-1,-1,-1,-1,10 м²,79090306672,, Степана Разина,51,Чкаловская,
32,Брусника,developer,https://ekb.cian.ru/sale/flat/306854927/,Екатеринбург,sale,flat,2,17,1,41.06,-1,0,7360000,2021,-1,"Монолитно-кирпичный, монолитный",-1,Предчистовая,"10,8 м²","22,3 м²",73432261631,Орджоникидзевский,переулок Ритслянда,15,Проспект Космонавтов,Северный квартал
33,Светлана Озолова,realtor,https://ekb.cian.ru/sale/flat/306863743/,Екатеринбург,sale,flat,8,9,1,35.3,-1,0,4750000,1993,-1,-1,-1,-1,"16,7 м²",12 м²,79193810841,Чкаловский, Титова,25А,Ботаническая,
35,Самолет Плюс Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/308563355/,Екатеринбург,sale,flat,4,5,1,30.0,-1,0,3999000,1964,-1,-1,-1,-1,17 м²,6 м²,79122515743,Орджоникидзевский, Индустрии,96,Проспект Космонавтов,
36,РЕПУТАЦИЯ,real_estate_agent,https://ekb.cian.ru/sale/flat/309122238/,Екатеринбург,sale,flat,2,2,1,27.2,-1,0,2550000,1947,-1,-1,-1,-1,"15,2 м²",7 м²,79122339619,Верх-Исетский, Малый Конный Полуостров,1,Площадь 1905 года,
37,РСГ-Академическое,developer,https://ekb.cian.ru/sale/flat/303268950/,Екатеринбург,sale,flat,26,32,1,42.3,-1,0,6569281,2023,-1,"Монолитно-кирпичный, кирпичный",-1,Чистовая,-1,-1,73432261700,, Академика Парина,37А,Чкаловская,Eleven
38,Партнер,developer,https://ekb.cian.ru/sale/flat/308985258/,Екатеринбург,sale,flat,3,4,1,45.2,-1,0,5510000,2025,-1,-1,-1,Чистовая,-1,-1,73432267520,Чкаловский,,,Ботаническая,Совушки ЖК
39,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/309367460/,Екатеринбург,sale,flat,4,9,1,36.1,-1,0,7250000,1990,-1,-1,-1,-1,-1,"8,7 м²",79826883528,Центр, 8 Марта,80,Геологическая,
40,Новосёл,real_estate_agent,https://ekb.cian.ru/sale/flat/309573173/,Екатеринбург,sale,flat,4,8,1,30.0,-1,0,2750000,-1,-1,-1,-1,-1,17 м²,6 м²,79826513715,Железнодорожный, Техническая,80,Уральская,
41,Практика,developer,https://ekb.cian.ru/sale/flat/295760887/,Екатеринбург,sale,flat,1,8,1,51.5,-1,0,7617597,2025,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","16,3 м²",-1,73432261743,Орджоникидзевский,,,Проспект Космонавтов,Квартал К3 ЖК
42,Ориентир. Недвижимость,real_estate_agent,https://ekb.cian.ru/sale/flat/309172227/,Екатеринбург,sale,flat,5,13,1,39.0,-1,0,4800000,2014,-1,-1,-1,-1,"17,4 м²","10,2 м²",79827306001,, Анатолия Мехренцева,42,Геологическая,Академический
43,Новосёл,real_estate_agent,https://ekb.cian.ru/sale/flat/308610060/,Екатеринбург,sale,flat,5,5,1,32.0,-1,0,3500000,1976,-1,-1,-1,-1,18 м²,8 м²,79125708115,Кировский, Сулимова,25,Машиностроителей,
44,ЛСР. Недвижимость,developer,https://ekb.cian.ru/sale/flat/302267926/,Екатеринбург,sale,flat,17,25,1,34.0,-1,0,5049000,2025,-1,-1,-1,Под ключ,"10,4 м²","15,8 м²",73432261722,Кировский,Комсомольский жилрайон,,Ботаническая,Малахит ЖК
45,Без Границ,real_estate_agent,https://ekb.cian.ru/sale/flat/304347377/,Екатеринбург,sale,flat,3,4,1,34.4,-1,0,5169000,2025,-1,-1,-1,Без отделки,"10,5 м²",12 м²,79826727878,Ленинский, Амундсена,,Чкаловская,Твоя привилегия
46,Самолет Плюс Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/307855883/,Екатеринбург,sale,flat,3,5,1,25.9,-1,0,2190000,-1,-1,-1,-1,-1,"17,5 м²","3,4 м²",79122515743,Октябрьский, Хвойная,76к2,Геологическая,
47,Практика,developer,https://ekb.cian.ru/sale/flat/295672487/,Екатеринбург,sale,flat,23,24,1,39.9,-1,0,5725650,2025,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","14,8 м²","13,5 м²",73432261785,Чкаловский, Молодогвардейцев,1,Ботаническая,М1
48,ID 123708613,homeowner,https://ekb.cian.ru/sale/flat/309199563/,Екатеринбург,sale,flat,25,25,1,37.1,-1,0,5500000,2014,-1,-1,-1,-1,"15,4 м²","10,6 м²",79122631544,Орджоникидзевский, Парниковая,6,Проспект Космонавтов,
49,Новосёл,real_estate_agent,https://ekb.cian.ru/sale/flat/307088794/,Екатеринбург,sale,flat,1,5,1,30.0,-1,0,3440000,-1,-1,-1,-1,-1,20 м²,6 м²,79826514649,Октябрьский, Куйбышева,181,Геологическая,
50,Практика,developer,https://ekb.cian.ru/sale/flat/295766200/,Екатеринбург,sale,flat,2,22,1,52.87,-1,0,7226801,2024,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","15,2 м²","19,7 м²",73432261744,Орджоникидзевский, 40-летия Октября,,Уралмаш,ТЕМП
51,АТОМ,developer,https://ekb.cian.ru/sale/flat/304866439/,Екатеринбург,sale,flat,22,26,1,42.04,-1,0,5450000,2024,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","13,3 м²","19,2 м²",73432261849,, Николая Кичигина,7,Чкаловская,NOVA park
52,ID 70940643,homeowner,https://ekb.cian.ru/sale/flat/298962573/,Екатеринбург,sale,flat,10,25,1,43.1,-1,0,5655000,2011,-1,-1,-1,-1,15 м²,"13,5 м²",79090307346,Чкаловский, Павлодарская,48А,Ботаническая,
53,Диал,real_estate_agent,https://ekb.cian.ru/sale/flat/308997249/,Екатеринбург,sale,flat,8,18,1,35.5,-1,0,4450000,2019,-1,-1,-1,-1,16 м²,14 м²,79827130659,,проспект Академика Сахарова,29к2,Чкаловская,
54,Стройтэк,developer,https://ekb.cian.ru/sale/flat/309662434/,Екатеринбург,sale,flat,7,25,1,36.69,-1,0,7055487,2025,-1,Монолитно-кирпичный,-1,Предчистовая,"10,1 м²","15,3 м²",73432261779,Чкаловский, 8 Марта,204,,Green Garden
55,Самолет Плюс Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/305313592/,Екатеринбург,sale,flat,2,25,1,39.1,-1,0,4800000,2017,-1,-1,-1,-1,"16,5 м²","12,2 м²",79122515743,, Евгения Савкова,4,Геологическая,
56,ДэН,real_estate_agent,https://ekb.cian.ru/sale/flat/309557312/,Екатеринбург,sale,flat,4,16,1,45.0,-1,0,3770000,2006,-1,-1,-1,-1,22 м²,15 м²,79122215484,Железнодорожный, Софьи Перовской,110,Машиностроителей,
57,Стройтэк,developer,https://ekb.cian.ru/sale/flat/301007195/,Екатеринбург,sale,flat,14,17,1,34.77,-1,0,5389315,2023,-1,Монолитно-кирпичный,-1,Чистовая,"14,7 м²","10,6 м²",73432261852,, Хрустальногорская,89/2,Чкаловская,Рио
58,МАН,real_estate_agent,https://ekb.cian.ru/sale/flat/304782058/,Екатеринбург,sale,flat,12,26,1,39.9,-1,0,3950000,2014,-1,-1,-1,-1,"17,4 м²","12,2 м²",79126133940,Железнодорожный, Дружининская,5Б,Уралмаш,
59,Новосёл,real_estate_agent,https://ekb.cian.ru/sale/flat/308958513/,Екатеринбург,sale,flat,9,16,1,35.0,-1,0,3600000,-1,-1,-1,-1,-1,19 м²,7 м²,79826513715,Железнодорожный, Софьи Перовской,107,Машиностроителей,
